ident,type,name,iso_country,iso_region,municipality,iata_code,state_code
PA37,heliport,Sci-Mahanoy Heliport,US,US-PA,Mahanoy,,PA
PA38,closed,Beaver Run Heliport,US,US-PA,Quakertown,,PA
PA39,small_airport,Beaver Springs Airport,US,US-PA,Benfer,,PA
PA40,small_airport,Benton Airport,US,US-PA,Benton,,PA
PA41,heliport,Butler Memorial Hospital Heliport,US,US-PA,Butler,,PA
PA42,heliport,Berwick Hospital Corporation Personal Use Heliport,US,US-PA,Berwick,,PA
PA43,closed,Arnold Airport,US,US-PA,Birdsboro,,PA
PA44,small_airport,Stone Castle Motel Airport,US,US-PA,Bloomsburg,,PA
PA45,small_airport,Logue Airport,US,US-PA,Bodines,,PA
PA46,heliport,"Horizon Hospital System, Greenville Heliport",US,US-PA,Greenville,,PA
PA47,small_airport,Cloudbound Airport,US,US-PA,Gettysburg,,PA
PA48,heliport,Holy Spirit A Geisinger Affiliate Heliport,US,US-PA,Harrisburg,,PA
PA49,small_airport,Mountain Bay Air Park Inc Airport,US,US-PA,Hawley,,PA
PA50,heliport,Bloomsburg Hospital Heliport,US,US-PA,Bloomsburg,,PA
PA51,small_airport,Bowtie Airport,US,US-PA,Biglerville,,PA
PA52,small_airport,Oberlander Airport,US,US-PA,Union City,,PA
PA53,small_airport,Cosklos Elkview Airport,US,US-PA,Carbondale,,PA
PA54,small_airport,Kellachows Airport,US,US-PA,Carbondale,,PA
PA55,small_airport,Neiderer Airport,US,US-PA,Carlisle,,PA
PA56,heliport,Upmc Passavant Cranberry Heliport,US,US-PA,Cranberry,,PA
PA57,heliport,Grove City Medical Ctr Heliport,US,US-PA,Grove City,,PA
PA58,small_airport,Rocktop Airport,US,US-PA,Chambersburg,,PA
PA59,heliport,Cast & Baker Heliport,US,US-PA,Canonsburg,,PA
PA60,heliport,Chambersburg Hospital Heliport,US,US-PA,Chambersburg,,PA
PA61,small_airport,Kunda Airport,US,US-PA,Collegeville,,PA
PA62,heliport,Temple University Heliport,US,US-PA,Philadelphia,,PA
PA63,heliport,Wpxi-Tv Evergreen Road Heliport,US,US-PA,Pittsburgh,,PA
PA64,heliport,Cairnwood Heliport,US,US-PA,Huntington Valley,,PA
PA65,small_airport,Hi-Vu Airport,US,US-PA,Coplay,,PA
PA66,small_airport,Cumberland Valley Airstrip,US,US-PA,Greencastle,,PA
PA67,heliport,Allegheny Hospitals Canonsburg Heliport,US,US-PA,Canonsburg,,PA
PA68,small_airport,Bugs Airport,US,US-PA,Nazareth,,PA
PA69,small_airport,Vogelsong Airport,US,US-PA,Dillsburg,,PA
PA70,small_airport,Fetters Construction Airport,US,US-PA,Downingtown,,PA
PA71,small_airport,Dwight's Delight Airport,US,US-PA,Dushore,,PA
PA72,small_airport,Circle W Airfield,US,US-PA,East Berlin,,PA
PA73,small_airport,D.Evans Farm Airport,US,US-PA,East Prospect,,PA
PA74,small_airport,Gusler Airport,US,US-PA,Elizabethville/Halifax,,PA
PA75,small_airport,Baker Airport,US,US-PA,Elkland,,PA
